x_model,y_model
-2.642102643494656511e-02,-1.400229593059329203e-01
-2.642102643494656511e-02,-1.400229593059329203e-01
-5.151067011758810044e-02,-1.992255006659697791e-01
-5.151067011758810044e-02,-1.992255006659697791e-01
9.104444975753607505e-02,7.494204455518066466e-02
1.065676677886555346e-01,1.330431886444868317e-01
-3.038447564694690683e-02,-8.223713856799708122e-02
1.447050954317877780e-01,2.353604790332638474e-01
1.057424975736663969e-01,1.083571519226246005e-01
1.057424975736663969e-01,1.083571519226246005e-01
1.057424975736663969e-01,1.083571519226246005e-01
1.193058865093502008e-02,-7.088117646970096275e-02
1.193058865093502008e-02,-7.088117646970096275e-02
1.193058865093502008e-02,-7.088117646970096275e-02
-2.234988398805776155e-01,-2.002954167117294015e-01
-2.697272727045977314e-01,-2.029192403666872646e-01
-2.602342343070928599e-01,-2.964078025161123731e-01
-2.602342343070928599e-01,-2.964078025161123731e-01
-2.197096238104789823e-01,-2.888755483993308837e-01
-2.356967588428906524e-01,-1.848737345668485521e-01
1.515851633333955562e-01,-1.238219046760432596e-01
8.087619850606277139e-02,1.489392380373940616e-01
8.087619850606277139e-02,1.489392380373940616e-01
8.087619850606277139e-02,1.489392380373940616e-01
8.087619850606277139e-02,1.489392380373940616e-01
8.087619850606277139e-02,1.489392380373940616e-01
8.087619850606277139e-02,1.489392380373940616e-01
-2.594712626547409640e-01,2.167040857207840343e-01
-2.594712626547409640e-01,2.167040857207840343e-01
-1.042278777588346583e-01,1.613457300198349320e-01
-7.543718987997123648e-02,1.192832547239502800e-01
1.412459063993032338e-01,1.432213008670809584e-01
1.766022174773546061e-01,2.779300825418945520e-02
1.766022174773546061e-01,2.779300825418945520e-02
1.766022174773546061e-01,2.779300825418945520e-02
3.070073398699105782e-01,3.868280295611394720e-03
2.115594407454221559e-01,-6.882654227254281221e-02
3.211838366703677616e-01,-1.455067168355810847e-01
9.187856467442873099e-02,-8.584865391512916388e-02
1.120635079774745246e-01,-7.018842985040504856e-02
6.860225198078767628e-02,5.321973210448956160e-02
-3.101153822451241382e-02,7.769859782733537501e-02
-3.101153822451241382e-02,7.769859782733537501e-02
4.280871120343832104e-02,4.812264455002632918e-02
4.280871120343832104e-02,4.812264455002632918e-02
-4.043821004778198891e-02,-1.456499631666597350e-01
2.338719621083865663e-01,-1.917238607267066630e-01
1.702659939095622910e-01,-2.939888793673818279e-01
2.364306122722711900e-01,-1.086775689393787436e-01
2.364306122722711900e-01,-1.086775689393787436e-01
2.364306122722711900e-01,-1.086775689393787436e-01
9.424254325348707662e-02,1.183610829576634549e-01
-7.292607775116224933e-02,-5.053754454142850294e-02
5.894527481119668511e-03,4.824420521559139030e-03
4.427845528227289731e-03,3.393194317195164650e-02
1.225002461371267753e-01,-1.760999933803193696e-03
1.225002461371267753e-01,-1.760999933803193696e-03
7.147096156464093075e-02,5.952235194797896034e-02
2.442510460833724473e-02,6.630681800737177334e-03
-4.025501867216225993e-02,-1.833707555941723466e-01
-1.496248748905906201e-01,-1.309388895243948636e-02
-1.320881644281871881e-01,-7.364096046578155752e-02
-7.613735748067923526e-03,-6.900471678414431265e-02
-7.613735748067923526e-03,-6.900471678414431265e-02
1.000943162093036326e-01,-3.175615320642269368e-03
8.011641769418306747e-03,-7.359797341775616009e-02
8.011641769418306747e-03,-7.359797341775616009e-02
8.011641769418306747e-03,-7.359797341775616009e-02
8.011641769418306747e-03,-7.359797341775616009e-02
8.011641769418306747e-03,-7.359797341775616009e-02
-9.737903223518477869e-02,5.221961554353897472e-02
1.374246474553036945e-01,7.650564839291261465e-02
-4.953288406031661206e-02,-7.082061127525589306e-02
-1.042358386986517171e-01,-1.314019207842667680e-01
5.963702714754609557e-02,-2.998070188831264971e-01
-1.103152213520434965e-01,-3.053996739906428282e-01
-4.025008509704901261e-02,-3.365848700973139151e-01
-4.025008509704901261e-02,-3.365848700973139151e-01
1.471956123177022707e-02,-2.530705169756817252e-01
7.933335310199976509e-02,-3.395731512715722822e-01
6.107021607144552666e-02,-2.076444581291568281e-01
-8.025277780133871497e-02,-8.299836954124635569e-02
-9.120699577073439202e-02,-1.155446446566818358e-01
-9.120699577073439202e-02,-1.155446446566818358e-01
4.804770501898800172e-03,-1.153548100523294484e-01
6.180972483485238679e-03,-2.796053342007005782e-02
6.180972483485238679e-03,-2.796053342007005782e-02
3.818751130084770129e-02,9.112840521752921252e-02
3.818751130084770129e-02,9.112840521752921252e-02
5.023605379928079012e-02,-1.014205336415433811e-01
-5.564973975812322754e-02,-1.009755066812662583e-01
4.317258785055778231e-02,1.894307275770173438e-01
4.317258785055778231e-02,1.894307275770173438e-01
7.036516347415119887e-02,7.488208308524614554e-02
1.117744967899688968e-01,-2.999119464714025685e-03
1.900208796597724348e-01,-1.000677504258620093e-01
1.907037161682075821e-01,1.175229208799997982e-02
3.543444892456670825e-01,2.335182105508363803e-01
3.543444892456670825e-01,2.335182105508363803e-01
3.543444892456670825e-01,2.335182105508363803e-01
1.113616274899050240e-01,2.102342253632404068e-01
1.113616274899050240e-01,2.102342253632404068e-01
2.416532296009603065e-01,1.763072854160581682e-01
3.284797319123947679e-01,1.557479345165754536e-01
1.790955352771071707e-01,1.123192286566859210e-01
1.790955352771071707e-01,1.123192286566859210e-01
-2.175582281849229582e-01,7.956620316040677321e-02
-3.042696898766986680e-01,-4.805679595624642864e-02
-3.042696898766986680e-01,-4.805679595624642864e-02
-2.778602358947794837e-01,-1.928793506800179774e-02
-2.778602358947794837e-01,-1.928793506800179774e-02
