# x_bohr V_Hartree
-2.079800498753117122e+00 2.162785057306857439e+00
-2.049875311720697812e+00 2.100994396801013853e+00
-2.019950124688278947e+00 2.040099253114096900e+00
-1.990024937655860082e+00 1.980099626246104805e+00
-1.960099750623441217e+00 1.920995516197038233e+00
-1.930174563591021908e+00 1.862786922966895853e+00
-1.900249376558603487e+00 1.805473846555680550e+00
-1.870324189526184178e+00 1.749056286963388773e+00
-1.840399002493765757e+00 1.693534244190024074e+00
-1.810473815461346447e+00 1.638907718235582678e+00
-1.780548628428927138e+00 1.585176709100066805e+00
-1.750623441396508717e+00 1.532341216783477789e+00
-1.720698254364089408e+00 1.480401241285812297e+00
-1.690773067331670987e+00 1.429356782607073661e+00
-1.660847880299251678e+00 1.379207840747258773e+00
-1.630922693266832368e+00 1.329954415706369186e+00
-1.600997506234413947e+00 1.281596507484406233e+00
-1.571072319201994638e+00 1.234134116081367027e+00
-1.541147132169576217e+00 1.187567241497254678e+00
-1.511221945137156908e+00 1.141895883732066075e+00
-1.481296758104737599e+00 1.097120042785802774e+00
-1.451371571072319178e+00 1.053239718658466106e+00
-1.421446384039899868e+00 1.010254911350053186e+00
-1.391521197007481447e+00 9.681656208605670111e-01
-1.361596009975062138e+00 9.269718471900048051e-01
-1.331670822942642829e+00 8.866735903383677897e-01
-1.301745635910224408e+00 8.472708503056572971e-01
-1.271820448877805099e+00 8.087636270918707737e-01
-1.241895261845386678e+00 7.711519206970107732e-01
-1.211970074812967368e+00 7.344357311210748529e-01
-1.182044887780548059e+00 6.986150583640642342e-01
-1.152119700748129638e+00 6.636899024259799162e-01
-1.122194513715710329e+00 6.296602633068197896e-01
-1.092269326683291908e+00 5.965261410065859637e-01
-1.062344139650872599e+00 5.642875355252763292e-01
-1.032418952618453289e+00 5.329444468628919962e-01
-1.002493765586034868e+00 5.024968750194339639e-01
-9.725685785536155592e-01 4.729448199949001230e-01
-9.426433915211971382e-01 4.442882817892924718e-01
-9.127182044887778289e-01 4.165272604026092340e-01
-8.827930174563585197e-01 3.896617558348512422e-01
-8.528678304239400987e-01 3.636917680860193292e-01
-8.229426433915207895e-01 3.386172971561118850e-01
-7.930174563591023684e-01 3.144383430451304084e-01
-7.630922693266830592e-01 2.911549057530735118e-01
-7.331670822942637500e-01 2.687669852799418613e-01
-7.032418952618453289e-01 2.472745816257361229e-01
-6.733167082294260197e-01 2.266776947904549921e-01
-6.433915211970075987e-01 2.069763247740997458e-01
-6.134663341645882895e-01 1.881704715766691627e-01
-5.835411471321689802e-01 1.702601351981638533e-01
-5.536159600997505592e-01 1.532453156385842896e-01
-5.236907730673312500e-01 1.371260128979295279e-01
-4.937655860349128289e-01 1.219022269762004562e-01
-4.638403990024935197e-01 1.075739578733962004e-01
-4.339152119700742105e-01 9.414120558951721840e-02
-4.039900249376557895e-01 8.160397012456387100e-02
-3.740648379052364803e-01 6.996225147853542270e-02
-3.441396508728180592e-01 5.921604965143255350e-02
-3.142144638403987500e-01 4.936536464325462503e-02
-2.842892768079794408e-01 4.041019645400197730e-02
-2.543640897755610197e-01 3.235054508367483234e-02
-2.244389027431417105e-01 2.518641053227271137e-02
-1.945137157107232895e-01 1.891779279979604114e-02
-1.645885286783039803e-01 1.354469188624444521e-02
-1.346633416458846710e-01 9.067107791618128285e-03
-1.047381546134662500e-01 5.485040515917180559e-03
-7.481296758104694078e-02 2.798490059141390401e-03
-4.488778054862851974e-02 1.007456421290916539e-03
-1.496259351620921052e-02 1.119396023656529495e-04
1.496259351621009870e-02 1.119396023656662445e-04
4.488778054862851974e-02 1.007456421290916539e-03
