# i j k l (ij|kl)_Hartree; unique nonzero AO ERIs, 1-based
6 6 6 6 7.7460594391989779e-01
7 1 1 1 1.2178798090871593e-01
7 1 2 1 2.2309716912929857e-02
7 1 2 2 4.1612515004788291e-02
7 1 3 1 -8.0749231589955102e-04
7 1 3 2 -1.5193138591220270e-03
7 1 3 3 4.1686873611910188e-02
7 1 4 4 4.1530876775780962e-02
7 1 5 1 6.3069909689189726e-04
7 1 5 2 1.1866736809453503e-03
7 1 5 3 -1.2184272435471928e-04
7 1 5 5 4.1626043125602821e-02
7 1 6 1 3.6264913231900554e-03
7 1 6 2 1.1738450231379018e-02
7 1 6 3 6.6625400941972644e-03
7 1 6 5 5.6697130392379677e-03
7 1 6 6 1.7891294360650938e-02
7 1 7 1 3.6832668440379352e-03
7 2 1 1 3.1333926493574521e-01
7 2 2 1 7.2841295592665112e-02
7 2 2 2 2.5888851273356422e-01
7 2 3 1 -4.3177089258383764e-03
7 2 3 2 -3.3778781925496375e-02
7 2 3 3 2.6264131496460985e-01
7 2 4 4 2.5435898676900764e-01
7 2 5 1 3.3723851813186804e-03
7 2 5 2 2.6383219796693516e-02
7 2 5 3 -6.4689865281372643e-03
7 2 5 5 2.5941164656621823e-01
7 2 6 1 1.1738450231379018e-02
7 2 6 2 8.2804622312622062e-02
7 2 6 3 4.4246476951327801e-02
7 2 6 5 4.8351313150952431e-02
7 2 6 6 1.5191807947913935e-01
7 2 7 1 1.2122074859270103e-02
7 2 7 2 1.0381956538469127e-01
7 3 1 1 -1.8356124708669505e-01
7 3 2 1 -4.3203071483222374e-02
7 3 2 2 -1.6393057035501390e-01
7 3 3 1 9.6453921207293371e-03
7 3 3 2 6.4017540506096302e-02
7 3 3 3 -1.7538806679625296e-01
7 3 4 4 -1.5659175021642627e-01
7 3 5 1 -1.7448227771560676e-03
7 3 5 2 -1.5708841320098206e-02
7 3 5 3 9.2820663073281962e-03
7 3 5 5 -1.5962468130524426e-01
7 3 6 1 -6.6625400941972626e-03
7 3 6 2 -4.4246476951327801e-02
7 3 6 3 -1.3105340371886135e-02
7 3 6 5 -2.5318181828975765e-02
7 3 6 6 -7.3621981828624047e-02
7 3 7 1 -7.4887287132744231e-03
